locationName,lat,lon,stationId,time,temp
天母,25.119253,121.528939,C0A9C0,2021-03-31 15:00:00,26.2
七股,23.149036,120.078164,C0X310,2021-03-31 15:00:00,27.0
四湖,23.631111,120.217222,C0K280,2021-03-31 15:00:00,28.7
朴子,23.436364,120.230928,C0M650,2021-03-31 15:00:00,26.9
蘭嶼燈塔,22.084864,121.487072,C0S910,2021-03-31 15:00:00,27.5
香山,24.748650,120.897256,C0D570,2021-03-31 15:00:00,23.8
東石,23.460653,120.145722,C0M710,2021-03-31 15:00:00,26.4
新興,22.629111,120.290583,C0V490,2021-03-31 15:00:00,28.2
高鐵苗栗,24.609000,120.817906,C0E870,2021-03-31 15:00:00,24.3
茶山,23.300847,120.656664,C0M800,2021-03-31 15:00:00,30.4
桶後,24.850056,121.589639,C0A570,2021-03-31 15:00:00,22.6
金崙,22.540000,120.958889,C0S790,2021-03-31 15:00:00,27.0
新豐,24.872436,120.969000,C0D590,2021-03-31 15:00:00,23.3
員山,24.746147,121.714269,C0U990,2021-03-31 15:00:00,25.9
竹崎,23.527931,120.547378,C0M700,2021-03-31 15:00:00,28.9
三貂角,25.009444,121.993889,C0A970,2021-03-31 15:00:00,19.4
石寧山,23.225581,121.398542,C0S940,2021-03-31 15:00:00,28.0
新營,23.312447,120.308586,C0X250,2021-03-31 15:00:00,28.9
雲林東勢,23.676692,120.244675,C0K520,2021-03-31 15:00:00,27.1
萬榮,23.711022,121.411969,C0Z200,2021-03-31 15:00:00,27.7
旗山,22.890389,120.475528,C0V740,2021-03-31 15:00:00,31.5
萬山,22.907694,120.680000,C0V790,2021-03-31 15:00:00,30.9
社頭,23.899417,120.578083,C0G860,2021-03-31 15:00:00,28.3
雪山圈谷A,24.390375,121.228197,C0F0A0,2021-03-31 15:00:00,7.3
瑞穗林道,23.494642,121.298764,C0Z250,2021-03-31 15:00:00,22.1
二崙,23.774550,120.400811,C0K440,2021-03-31 15:00:00,27.9
西林,23.813667,121.433194,C0T900,2021-03-31 15:00:00,26.3
新社,24.201583,120.807500,C0F9V0,2021-03-31 15:00:00,26.4
多加屯,24.370400,121.365011,C0UA20,2021-03-31 15:00:00,15.5
表湖,23.243628,120.633564,C0M850,2021-03-31 15:00:00,29.5
蘆竹,25.086111,121.257500,C0C620,2021-03-31 15:00:00,22.0
水里,23.814322,120.841658,C0I360,2021-03-31 15:00:00,28.2
里佳,23.390872,120.708528,C0M810,2021-03-31 15:00:00,22.2
文山,25.004083,121.567528,C0AC80,2021-03-31 15:00:00,24.7
水試所成功,23.101389,121.375261,CM0140,2021-03-31 15:00:00,28.1
金崙山,22.569219,120.951617,C0SA20,2021-03-31 15:00:00,21.9
古坑,23.656050,120.551619,C0K490,2021-03-31 15:00:00,28.7
小林,23.150164,120.625189,C0V820,2021-03-31 15:00:00,30.5
東河,22.973611,121.298333,C0S810,2021-03-31 15:00:00,27.9
南州,22.487694,120.494694,C0R580,2021-03-31 15:00:00,28.5
安通山,23.292536,121.340419,C0Z330,2021-03-31 15:00:00,28.2
通霄,24.473639,120.696444,C0E590,2021-03-31 15:00:00,24.9
橫山,24.712925,121.108733,C0D540,2021-03-31 15:00:00,21.9
西螺,23.802150,120.459253,C0K420,2021-03-31 15:00:00,27.7
新城,24.041264,121.596386,C0Z180,2021-03-31 15:00:00,26.1
八里,25.152250,121.395306,C0AD10,2021-03-31 15:00:00,20.8
番路,23.466408,120.546028,C0M720,2021-03-31 15:00:00,27.5
鳳森,22.546944,120.384500,C0V450,2021-03-31 15:00:00,30.7
檳榔,22.077883,120.828758,C0R280,2021-03-31 15:00:00,28.3
